variable,variable_type,variable_name,custom_description,transformation
TOT_HH,Estimate,Total households,Total number of households,log + standardize
CIV_POP_18+,Estimate,Civilian population 18 years and over,Total number of civilians 18+,log + standardize
TOT_CIV_POP,Estimate,Total Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,log + standardize
TOT_POPULATION,Estimate,Total population,Total population (number),log + standardize
AVG_HH_SZ,Estimate,Average household size,Average family size (number),log + standardize
AVG_FAM_SZ,Estimate,Average family size,Average household size (number),log + standardize
P_HH_65PLUS,Percent Estimate,Households with one or more people 65 years and over,Percent of households with at least one person 65+ (percent),standardize only
P_HH_UNDER18,Percent Estimate,Households with one or more people under 18 years,Percent of households with at least one person <18 (percent),standardize only
P_MALES_NEVER_MARRIED,Percent Estimate,Males 15 years and over,Percent of males 15+ that have never married (percent),standardize only
P_FEMALES_NEVER_MARRIED,Percent Estimate,Females 15 years and over,Percent of females 15+ that have never married (percent),standardize only
P_MALES_WIDOWED,Percent Estimate,Males 15 years and over,Percent of males 15+ that are widowed (percent),standardize only
P_FEMALES_WIDOWED,Percent Estimate,Females 15 years and over,Percent of females 15+ that are widowed (percent),standardize only
P_SCHOOL_COLLEGE,Percent Estimate,Population 3 years and over enrolled in school,Percent school-attendees in college/grad school (percent),log + standardize
P_SCHOOL_HS,Percent Estimate,Population 3 years and over enrolled in school,Percent school-attendees in highschool (percent),standardize only
P_SCHOOL_NURSERY,Percent Estimate,Population 3 years and over enrolled in school,Percent school-attendees in nursery school/preschool (percent),standardize only
P_LT_9GRADE,Percent Estimate,Population 25 years and over,Percent of population older than 25 who has less than a 9th grade education (percent),log + standardize
P_GRAD_DEGREE,Percent Estimate,Population 25 years and over,Percent of population older than 25 who has a grad degree (percent),standardize only
P_HS_GRAD_PLUS,Percent Estimate,Percent high school graduate or higher,Percent of population older than 25 who has a highschool diploma or higher (percent),log + standardize
P_BACHELORS_PLUS,Percent Estimate,Percent bachelor's degree or higher,Percent of population older than 25 who has a bachelors degree or higher (percent),standardize only
P_VETERANS,Percent Estimate,Civilian population 18 years and over,Percent that are civilian vetrans of the civilian population over 18 years old (percent),log + standardize
P_DISABLED,Percent Estimate,Total Civilian Noninstitutionalized Population,Percent of population that is disabled (percent),standardize only
P_SAME_HOUSE_1YR,Percent Estimate,Population 1 year and over,Percent of population that was in the same house a year ago (percent),standardize only
P_DIFF_HOUSE_SAME_CNTY,Percent Estimate,Population 1 year and over,Percent of population that was in a different house in the same county a year ago (percent),standardize only
P_DIFF_HOUSE_US,Percent Estimate,Population 1 year and over,Percent of population that was in a different house in the U.S. a year ago (percent),standardize only
P_DIFF_HOUSE_SAME_STATE,Percent Estimate,Population 1 year and over,Percent of population that was in a different house in the same state a year ago (percent),standardize only
P_DIFF_HOUSE_DIFF_STATE,Percent Estimate,Population 1 year and over,Percent of population that was in a different house in a different state a year ago (percent),standardize only
P_DIFF_HOUSE_ABROAD,Percent Estimate,Population 1 year and over,Percent of population that was in a different house abroad a year ago (percent),log + standardize
P_BORN_US,Percent Estimate,Total population,Percent of population that was born in the U.S. (percent),log + standardize
P_BORN_SAME_STATE,Percent Estimate,Total population,Percent of population that was born in the same state (percent),standardize only
P_BORN_DIFF_STATE,Percent Estimate,Total population,Percent of population that was born in a different state (percent),standardize only
P_FOREIGN_BORN,Percent Estimate,Total population,Percent of population that is foreign born (percent),log + standardize
P_FOREIGN_NOT_CITIZEN,Percent Estimate,Foreign-born population,Percent of foreign born population that is not a citizen (percent),standardize only
CIV_POP_16,Estimate,Population 16 years and over,Number of people in the civilian labor force,log + standardize
P_LABOR_FORCE,Percent Estimate,Population 16 years and over,Percent of population 16+ in the labor force (percent),standardize only
P_EMPLOYED,Percent Estimate,Population 16 years and over,Percent of civilian labor force employed (percent),standardize only
P_UNEMPLOYED,Percent Estimate,Population 16 years and over,Percent of civilian labor force unemployed (percent),standardize only
P_ARMED_SERVICES,Percent Estimate,Population 16 years and over,Percent of labor force in the armed services (percent),log + standardize
P_NOT_IN_LABOR_FORCE,Percent Estimate,Population 16 years and over,Percent of population 16+ not in the labor force (percent),standardize only
P_UNEMPLOYMENT_RATE,Percent Estimate,Civilian labor force,Unemployment rate of civilian labor force (percent),log + standardize
P_ALL_PARENTS_WORK_UNDER6,Percent Estimate,Own children of the householder under 6 years,"All parents of household in labor force, own children under 6 (percent)",standardize only
P_COMMUTE_ALONE,Percent Estimate,Workers 16 years and over,Percent of workforce 16+ commuting by driving alone (percent),standardize only
P_COMMUTE_CARPOOL,Percent Estimate,Workers 16 years and over,Percent of workforce 16+ commuting by carpool (percent),standardize only
P_COMMUTE_PUBLIC,Percent Estimate,Workers 16 years and over,Percent of workforce 16+ commuting by public transportation (percent),log + standardize
P_WORK_FROM_HOME,Percent Estimate,Workers 16 years and over,Percent of workforce 16+ working from home (percent),standardize only
AVG_COMMUTE_TIME,Estimate,Workers 16 years and over,Mean travel time to work (minutes),standardize only
P_WORK_MANAGEMENT,Percent Estimate,Civilian employed population 16 years and over,"Segment of the working population 16+ in management, business, science, and arts (percent)",standardize only
P_WORK_SERVICE,Percent Estimate,Civilian employed population 16 years and over,Segment of the working population 16+ in service (percent),log + standardize
P_WORK_SALES,Percent Estimate,Civilian employed population 16 years and over,Segment of the working population 16+ in sales/office (percent),standardize only
P_WORK_CONSTRUCTION,Percent Estimate,Civilian employed population 16 years and over,Segment of the working population 16+ in natural resources/construction/maintenance (percent),log + standardize
P_WORK_PRODUCTION,Percent Estimate,Civilian employed population 16 years and over,"Segment of the working population 16+ in production, transportation, and materials (percent)",standardize only
P_WORK_AGRICULTURE,Percent Estimate,Civilian employed population 16 years and over,"Segment of the working population 16+ working in agriculture, forestry, fishing, hunting, and mining industry (percent)",log + standardize
P_WORK_CONSTRUCTION_INDUSTRY,Percent Estimate,Civilian employed population 16 years and over,Segment of the working population 16+ working in construction industry (percent),standardize only
P_WORK_MANUFACTURING,Percent Estimate,Civilian employed population 16 years and over,Segment of the working population 16+ working in manufacturing industry (percent),standardize only
P_WORK_WHOLESALE,Percent Estimate,Civilian employed population 16 years and over,Segment of the working population 16+ working in wholesale trade industry (percent),standardize only
P_WORK_RETAIL,Percent Estimate,Civilian employed population 16 years and over,Segment of the working population 16+ working in retail trade industry (percent),standardize only
